validator_address,operator_address,commission_rate
0xCB9f0c1837EDae42Df9e35cA436B4A4543CCf799,0x82369037eaeed5C71D37C2B0d01B43a60223F550,10
0x59eCf48345A221E0731E785ED79eD40d0A94E2A5,0x2e9A5E78bDa3fC30B7b855Deef5F775EC45D550c,10
0xF1C78ba466B7154875795C4e07089e278835DCad,0xf7F389fBef33DB0da78ca39f16E82D4B10501439,10
0xEfb936c0B2D86CEA47D452Adda45b62d0E512353,0xEfb936c0B2D86CEA47D452Adda45b62d0E512353,10
0x8980dbBe60d92b53b08ff95eA1AaaAbb7F665bCB,0xced6dFdA18d4BA8caCCB799C9a2fAE77afF9e02B,10
0x00597F76FFe1bfeEf0cD7cf43A3415772BB0309b,0xEf8A61C66aD2A3e176d07b6055D216D76B89D147,10
0x376846dF4CD52a0E1ba5D4e81DCdb3Bd15c64046,0x3180Ee74d1737A8E28D0483fff63388f7D9452D9,10
0xF5CfbFC65945C2D8e10c277faa439D6eAd853604,0x46AfcD47610b04c665a485FC990AF6E183afCDC6,10
0x549deAF2d8819B49Bae0C4d43Da90D65dCBF29C9,0x0dCD7Ca9fd674DF1b73D3320Adb3E12c43765A39,10
0x2a8D3F9f3288fc244C6C25633941dBDccD345577,0x8EBd6FCcbeCA685AA9261d6d491636fD19eBEB78,10
0x0eE8E5dFeA4315fE69a4E0fe84f50CbFce8f1021,0x66E6D72EF21409BD2f61Cbc18Efe633735dE358c,10
0x2169ce84571a37BF3636Ac1BD858987736af6666,0x8c2F9F960F2b46A7BDFeed0Ad68e5C548484A792,10
0x3e615cC26272cA117A4B4296B7D96E6ADE538FB2,0xBF5Ef6dB7b358f31593273D19014E1793a54B154,10
0xCAe4ccaEF1dfE952dA0EB98eB25188Cb13251952,0xAAA4490d6eBaFD8E6E4df7bD02aB3D54e34c7872,10
0xe7EddaA6bd37849a8A39CD963b1da137032C9146,0xe7EddaA6bd37849a8A39CD963b1da137032C9146,10
0xF45fdb6165978bCf28619f56AD62380713B4eda1,0x874d5Bd46Db98dD9c5a030e6DF0FBd7e22D1fD11,10
0x7Fa42d0d0A26F8378B7b5BA279f10D0bB0c628Ea,0xDacD8481A63f287e93b40f0dA33c93F374a3fD4F,10
0xDc43FfA6DE1B576F3A63daDb88Ac8870D9bB8481,0x782cc2245938c2BE9CB9F69344C37D73Ca6B6642,10
0x96e7CFCB8Fe7F57420B20903966414eBc981959b,0xB4B45128F9a5fa45545516A071527d21247438F6,10
0x8EFD4Cf3fd4B55c1935c948769a01539F8ACa152,0x0477b80047e2B4F0e02b313CB24aD8D344008789,10
0x850Be5564003F2247111129F045d7Ff4139bB8AD,0x08016745eC3Fd007408a67741E583F7b3836dB4C,10
0x27feB2c2b87599dB1Ab83634Db5c5487A5d483e1,0xeC8dD93C481cBE0c8658f7673f16343a72Af9c3D,10
0xA1Be19349c296C4c7125894672EbC1756493617a,0x9F6A3097d63CE943f77f1c39a1433c03dE2BAf18,10
0x9EF59C331109fAFBbb9C400504f65E3E0DA424FE,0x8806259Dc021414d9c6411109E9c8bb7F736E0E8,10
0x84F7Ff3e1731342b6e6971BB6721585203994cA9,0xB250a87BA94f8E234ea4c801aa7eE727Cc6DD67a,10
0x0BbdC44B3A6d03437735BD4745D86418386B6919,0xB6e9c17854f33887CB44265fB1b782ba2A092E52,10
0xa0d4cE1c3d6E2208c97238d3CA3Dca439A9b1a31,0x3F5F9A07774F8cCB1BF145c85eaB81C538120b87,10
0x47BDd82E141563A4A9934B434B996A76738E7a22,0x47BDd82E141563A4A9934B434B996A76738E7a22,10
0x71fa12190B70E0F128D70611178a0792a0d320F1,0x6d89f2938e2feaac0bb92f93BABA12A0BBEBa11C,10
0xe70adf9aE4d5F68E80A8E2C5EA3B916Dd49C6D87,0x3c6D7aED413123968179e2734dad5a8Baced9a94,10
0xe8B6D2BF3Da9F9D66A528d605f4984D8618D21BA,0x90A09a9797A04CA679D8F8A6748f728D8f49F34B,10
0x4Bd76C118557DCBf0636A4026996776B8B598C71,0x2Ba8F159424f16Ec42C29F71a215675fc1F58A00,10
0x0d727Ee26854aE316E58656733584ca8Ce776ddD,0x323D0bB46DDE86AC1DDA2759c4eFcB538aa70E39,10
0x6D09b1D176C8d1491f297A7352E59FC9Adbc562B,0x0B39810399466d037bE97e13f3ca2060cafb139A,10
0x93309ACC8162AC7233217c8Cc7Dc1c2Eb196245F,0x93309ACC8162AC7233217c8Cc7Dc1c2Eb196245F,10
0x666B1c15fB6C81e2517355074a0612e6DbA0B5B4,0xe82C0f284e34a277F02Cf98708cC9ab544F215C8,10
0xe7FC147DE483D0B0dE439DD0AfdBadf49edD6afD,0x1eE8F3Da15F1129c43271E8e77527182A9Df1390,10
0xB84a198615f5B0508E29b222CB17500e1D173447,0x3f078Fcd094FC08a71Cd389e646D7fda05cE52Cd,10
0xa13a7Bf2D777fA3Af28a636b59952eDf0Eaf5De8,0xa13a7Bf2D777fA3Af28a636b59952eDf0Eaf5De8,10
0xf2c66C3f39Cb92483B0787044fD4D0520A497c2d,0xCaD9082D5f5e818b1A528A128b6688B8Cb484037,10



0xfAae07bac050bee1Efc1A589Be6629c3775f3272,0x4D700F1C089e66d4356FBF2167E19ea847168628,0
0x59eCf48345A221E0731E785ED79eD40d0A94E2A5,0x6d8aa1E2Df507461c0AA2DF6A6cE8Af5150a165B,0
